Date,Open,High,Low,Close,Adj Close,Volume
2014-12-19,85.930000,86.570000,84.940002,86.110001,66.850761,285900
2014-12-22,86.010002,86.910004,85.860001,86.500000,67.153549,230300
2014-12-23,86.459999,87.690002,86.370003,87.510002,68.756386,364200
2014-12-24,86.599998,87.860001,86.099998,86.680000,68.915398,135700
2014-12-26,86.730003,87.040001,86.389999,86.489998,68.764343,79900
2014-12-29,86.489998,87.230003,86.349998,86.760002,68.979019,194700
2014-12-30,86.830002,87.120003,85.790001,86.029999,68.398605,146800
2014-12-31,86.279999,86.650002,85.300003,85.949997,68.334999,148800
2015-01-02,85.500000,86.129997,84.599998,85.279999,67.802315,195900
2015-01-05,84.790001,85.000000,82.529999,83.669998,66.522278,270800
2015-01-06,83.449997,83.449997,80.169998,80.940002,64.351776,543400
2015-01-07,81.339996,81.690002,80.199997,80.800003,64.240471,567600
2015-01-08,81.110001,81.739998,80.269997,80.449997,63.962208,414400
2015-01-09,80.459999,80.459999,78.470001,79.059998,62.857071,404700
2015-01-12,78.589996,78.629997,77.029999,77.730003,61.799641,434000
2015-01-13,78.110001,79.110001,77.239998,78.419998,62.348236,582700
2015-01-14,77.410004,77.879997,76.169998,77.040001,61.251053,539900
2015-01-15,77.470001,77.699997,75.830002,76.519997,60.837631,337900
2015-01-16,75.680000,76.370003,75.230003,75.660004,60.153893,429900
2015-01-20,75.410004,75.620003,74.580002,75.160004,59.756363,493900
2015-01-21,75.480003,75.730003,74.370003,75.110001,59.716610,534300
2015-01-22,75.320000,75.889999,74.870003,74.919998,59.565548,485400
2015-01-23,75.000000,75.720001,74.760002,74.910004,59.557587,498600
2015-01-26,74.529999,75.099998,74.040001,74.269997,59.048759,381300
2015-01-27,74.099998,74.570000,73.339996,74.300003,59.072613,298800
2015-01-28,74.599998,74.599998,72.720001,72.940002,57.991333,651200
2015-01-29,72.889999,73.010002,71.290001,72.419998,57.577911,546200
2015-01-30,70.830002,70.830002,69.160004,69.419998,55.192738,732300
2015-02-02,70.269997,71.339996,70.169998,71.080002,56.512539,412000
